no,source_variables,mapping_status,notes_add
3.1,"Q51_UHC_HEARD, PROVINCE_HUC",mapped,'By province' for all Annex-3 tables = PSGC geo block PROVINCE_HUC (codebook province_code); id-block PROVINCE_HUC_CODE equivalent
3.2,"Q52_UHC_SOURCE, Q52_UHC_SOURCE_OTHER_TXT",mapped,(checkbox multi)
3.3,Q45_PHILHEALTH_REG,mapped,Q45 is roster-level; use respondent's own roster row (ambiguous respondent vs all-member rate)
3.4,"Q83_KNOWS_ASSIST, Q45_PHILHEALTH_REG",mapped,Unregistered universe = respondent roster row Q45=02 No; Q84_WHERE_ASSIST gives where
3.5,"Q79_REG_SOURCE, Q79_REG_SOURCE_OTHER_TXT",mapped,"Single-select (numeric), not checkbox"
3.6,"Q85_BENEFITS, Q85_BENEFITS_OTHER_TXT",mapped,(checkbox multi); 'correctly list' scoring derived at analysis vs codes 01-03
3.7,Q54_YAKAP_HEARD,mapped,Q54 asks package awareness; 'provider assignment' wording not asked verbatim
3.8,"Q56_YAKAP_UNDERSTAND, Q56_YAKAP_UNDERSTAND_OTHER_TXT",mapped,(checkbox multi); correct-benefit scoring derived at analysis
3.9,"Q81_REG_DIFFICULTY, Q82_DIFFICULTY_REASONS, Q82_DIFFICULTY_REASONS_OTHER_TXT",partial,(checkbox multi); no 'underwent registration in past yr incl unsuccessful' flag; approx universe via Q45_1_PIN_REG_WHEN
3.10,"Q87_PREMIUM_DIFFICULT, Q46_MEMBER_CATEGORY",mapped,Membership type Q46 is roster-level (respondent row); Q86 premium-pay gate; Q88 reasons
3.11,"Q108_REFERRED, Q119_PCF_REFERRAL",partial,"No HCPN-membership flag; Q119 = referral from primary care facility, most recent visit; YAKAP-provider referral not distinguished"
3.12,"Q115_HELPED_APPT, Q123_PCP_HELPED_APPT",mapped,Two paths: referral chain Q115 vs non-referral PCP chain Q123; Section K gated on Q108=Yes
3.13,"Q114_DISCUSSED_PLACES, Q122_PCP_DISCUSSED_PLACES",mapped,Two paths: Q114 (referral) vs Q122 (PCP); Section K gated on Q108=Yes
3.14,"Q118_SAT_REFERRAL_PROCESS, Q125_SAT_REFERRAL_EXP",mapped,"Two 5-pt satisfaction items: referral path Q118, non-referral PCP path Q125"
