040341101se-004              F4  4   Brgy. Mayondon - Household                        040341    
040341101se-006              F4  4   Brgy. Mayondon - Household                        040341    
040341101se-003              F4  3   Brgy. Mayondon - Household                        040341    
040341101se-007              F4  3   Brgy. Mayondon - Household                        040341    
040341101se-002              F4  3   Brgy. Mayondon - Household                        040341    
040341101se-005              F4  3   Brgy. Mayondon - Household                        040341    
040340220se-005              F1  1   LPH-Bay District Hospital                         040340    
040340220se-003              F3  2   LPH-Bay District Hospital                         040340    
040340220se-007              F3  1   LPH-Bay District Hospital                         040340    
040340220se-004              F3  1   LPH-Bay District Hospital                         040340    
040340220se-006              F3  1   LPH-Bay District Hospital                         040340    
040341130se-002              F1  1   Los Banos RHU                                     040341    
040341130se-006              F3  2   Los Banos RHU                                     040341    
040341130se-003              F3  1   Los Banos RHU                                     040341    
040341130se-007              F3  1   Los Banos RHU                                     040341    
040341130se-001              F3  1   Los Banos RHU                                     040341    
