010280001001,BANGUI DISTRICT HOSPITAL
10280001001,BANGUI DISTRICT HOSPITAL
010280002001,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL
10280002001,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL
010280003001,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER
10280003001,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER
010280004001,GAOAT HOSPITAL
10280004001,GAOAT HOSPITAL
010280005001,"THE BLACK NAZARENE HOSPITAL, INC."
10280005001,"THE BLACK NAZARENE HOSPITAL, INC."
010280006001,DINGRAS RURAL HEALTH UNIT
10280006001,DINGRAS RURAL HEALTH UNIT
010280007001,PRIMARY CARE FACILITY-RURAL HEALTH UNIT ANNEX
10280007001,PRIMARY CARE FACILITY-RURAL HEALTH UNIT ANNEX
010280008001,SOLSONA RHU PRIMARY CARE FACILITY
10280008001,SOLSONA RHU PRIMARY CARE FACILITY
010280009001,LAOAG CITY HEALTH OFFICE
10280009001,LAOAG CITY HEALTH OFFICE
010280010001,BURGOS MUNICIPAL HEALTH OFFICE
10280010001,BURGOS MUNICIPAL HEALTH OFFICE
010280011001,BATAC CITY HEALTH OFFICE
10280011001,BATAC CITY HEALTH OFFICE
010280012001,PIDDIG RURAL HEALTH UNIT
10280012001,PIDDIG RURAL HEALTH UNIT
010280013001,CURRIMAO MUNICIPAL HEALTH OFFICE
10280013001,CURRIMAO MUNICIPAL HEALTH OFFICE
010280014001,BANNA MUNICIPAL HEALTH OFFICE
10280014001,BANNA MUNICIPAL HEALTH OFFICE
010290001001,ILOCOS SUR DISTRICT HOSPITAL-BESSANG PASS CERVANTES
10290001001,ILOCOS SUR DISTRICT HOSPITAL-BESSANG PASS CERVANTES
010290002001,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN
10290002001,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN
010290003001,ILOCOS SUR MEDICAL CENTER
10290003001,ILOCOS SUR MEDICAL CENTER
010290004001,PIRA HOSPITAL
10290004001,PIRA HOSPITAL
010290005001,CORPUZ CLINIC AND HOSPITAL
10290005001,CORPUZ CLINIC AND HOSPITAL
010290006001,CANDON ST. MARTIN DE PORRES HOSPITAL
10290006001,CANDON ST. MARTIN DE PORRES HOSPITAL
010290007001,SUERO GENERAL HOSPITAL
10290007001,SUERO GENERAL HOSPITAL
010290008001,METRO VIGAN HOSPITAL
10290008001,METRO VIGAN HOSPITAL
010290009001,CAOAYAN MUNICIPAL HEALTH OFFICE
10290009001,CAOAYAN MUNICIPAL HEALTH OFFICE
010290010001,PASPAS SANTA PRIMARY CARE FACILITY
10290010001,PASPAS SANTA PRIMARY CARE FACILITY
010290011001,SAN ILDEFONSO MUNICIPAL HEALTH OFFICE
10290011001,SAN ILDEFONSO MUNICIPAL HEALTH OFFICE
010290012001,LIDLIDDA PRIMARY HEALTH CARE FACILITY
10290012001,LIDLIDDA PRIMARY HEALTH CARE FACILITY
010290013001,ALILEM MUNICIPAL HEALTH OFFICE ( PRIMARY CARE FACILITY)
10290013001,ALILEM MUNICIPAL HEALTH OFFICE ( PRIMARY CARE FACILITY)
010290014001,NAGBUKEL RURAL HEALTH UNIT
10290014001,NAGBUKEL RURAL HEALTH UNIT
010290015001,SALCEDO RURAL HEALTH UNIT
10290015001,SALCEDO RURAL HEALTH UNIT
010290016001,QUIRINO RURAL HEALTH UNIT
10290016001,QUIRINO RURAL HEALTH UNIT
010290017001,TATTAN SAN JUAN PRIMARY CARE FACILITY
10290017001,TATTAN SAN JUAN PRIMARY CARE FACILITY
010290018001,SINAIT MUNICIPAL HEALTH OFFICE
10290018001,SINAIT MUNICIPAL HEALTH OFFICE
010290019001,BANAYOYO PRIMARY CARE FACILITY
10290019001,BANAYOYO PRIMARY CARE FACILITY
010290020001,CERVANTES RURAL HEALTH UNIT
10290020001,CERVANTES RURAL HEALTH UNIT
010330001001,CABA DISTRICT HOSPITAL
10330001001,CABA DISTRICT HOSPITAL
010330002001,BACNOTAN DISTRICT HOSPITAL
10330002001,BACNOTAN DISTRICT HOSPITAL
010330003001,LA UNION MEDICAL CENTER
10330003001,LA UNION MEDICAL CENTER
010330004001,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER
10330004001,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER
010330005001,"LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL, INC."
10330005001,"LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL, INC."
010330006001,"BETHANY HOSPITAL, INC."
10330006001,"BETHANY HOSPITAL, INC."
010330007001,"LORMA MEDICAL CENTER, INC."
10330007001,"LORMA MEDICAL CENTER, INC."
010330008001,BAUANG RURAL HEALTH UNIT II
10330008001,BAUANG RURAL HEALTH UNIT II
010330009001,BURGOS RURAL HEALTH UNIT
10330009001,BURGOS RURAL HEALTH UNIT
010330010001,LUNA MUNICIPAL HEALTH OFFICE AND BIRTHING CLINIC
10330010001,LUNA MUNICIPAL HEALTH OFFICE AND BIRTHING CLINIC
010330011001,ARINGAY BIRTHING CLINIC AND RURAL HEALTH UNIT PRIMARY CARE FACILITY
10330011001,ARINGAY BIRTHING CLINIC AND RURAL HEALTH UNIT PRIMARY CARE FACILITY
010330012001,DOÑA DONATA AGUILA MEMORIAL HEALTH CENTER
10330012001,DOÑA DONATA AGUILA MEMORIAL HEALTH CENTER
010330013001,LUNA MUNICIPAL HEALTH OFFICE
10330013001,LUNA MUNICIPAL HEALTH OFFICE
010330014001,BACNOTAN MUNICIPAL HEALTH OFFICE
10330014001,BACNOTAN MUNICIPAL HEALTH OFFICE
010330015001,CITY OF SAN FERNANDO PRIMARY CARE FACILITY
10330015001,CITY OF SAN FERNANDO PRIMARY CARE FACILITY
010550001001,MANAOAG COMMUNITY HOSPITAL
10550001001,MANAOAG COMMUNITY HOSPITAL
010550002001,POZORRUBIO COMMUNITY HOSPITAL
10550002001,POZORRUBIO COMMUNITY HOSPITAL
010550003001,BAYAMBANG DISTRICT HOSPITAL
10550003001,BAYAMBANG DISTRICT HOSPITAL
010550004001,MANGATAREM DISTRICT HOSPITAL
10550004001,MANGATAREM DISTRICT HOSPITAL
010550005001,PANGASINAN PROVINCIAL HOSPITAL
10550005001,PANGASINAN PROVINCIAL HOSPITAL
010550006001,ROSALES CHUA PUN MEMORIAL HOSPITAL INC.
10550006001,ROSALES CHUA PUN MEMORIAL HOSPITAL INC.
010550007001,MBP - BLESSED TRINITY GENERAL HOSPITAL
10550007001,MBP - BLESSED TRINITY GENERAL HOSPITAL
010550008001,"C AND H MEDICAL AND SURGICAL CLINIC, INC."
10550008001,"C AND H MEDICAL AND SURGICAL CLINIC, INC."
010550009001,JESUS NAZARENE GENERAL HOSPITAL
10550009001,JESUS NAZARENE GENERAL HOSPITAL
010550010001,CENTRAL PANGASINAN HOSPITAL AND MEDICAL CENTER
10550010001,CENTRAL PANGASINAN HOSPITAL AND MEDICAL CENTER
010550011001,ELGUIRA GENERAL HOSPITAL
10550011001,ELGUIRA GENERAL HOSPITAL
010550012001,JULIUS K. QUIAMBAO ((JKQ) MEDICAL AND WELLNESS CENTER INC.
10550012001,JULIUS K. QUIAMBAO ((JKQ) MEDICAL AND WELLNESS CENTER INC.
010550013001,TAYUG RURAL HEALTH UNIT
10550013001,TAYUG RURAL HEALTH UNIT
010550014001,SAN NICOLAS RURAL HEALTH UNIT
10550014001,SAN NICOLAS RURAL HEALTH UNIT
010550015001,LINGAYEN RURAL HEALTH UNIT II
10550015001,LINGAYEN RURAL HEALTH UNIT II
010550016001,ASINGAN RURAL HEALTH UNIT II (GARY TAGANAS CHUI MEMORIAL HEALTH CENTER)
10550016001,ASINGAN RURAL HEALTH UNIT II (GARY TAGANAS CHUI MEMORIAL HEALTH CENTER)
010550017001,MABINI RURAL HEALTH UNIT
10550017001,MABINI RURAL HEALTH UNIT
010550018001,AGNO RURAL HEALTH UNIT I
10550018001,AGNO RURAL HEALTH UNIT I
010550019001,MANAOAG RURAL HEALTH UNIT
10550019001,MANAOAG RURAL HEALTH UNIT
010550020001,POZORRUBIO RURAL HEALTH UNIT
10550020001,POZORRUBIO RURAL HEALTH UNIT
010550021001,BUGALLON RURAL HEALTH UNIT II
10550021001,BUGALLON RURAL HEALTH UNIT II
010550022001,SISON RURAL HEALTH UNIT
10550022001,SISON RURAL HEALTH UNIT
010550023001,AGNO RURAL HEALTH UNIT II
10550023001,AGNO RURAL HEALTH UNIT II
010550024001,BOLINAO RURAL HEALTH UNIT II
10550024001,BOLINAO RURAL HEALTH UNIT II
010550025001,MALASIQUI RURAL HEALTH UNIT II
10550025001,MALASIQUI RURAL HEALTH UNIT II
010550026001,MANGALDAN RURAL HEALTH UNIT II
10550026001,MANGALDAN RURAL HEALTH UNIT II
010550027001,VILLASIS RURAL HEALTH UNIT
10550027001,VILLASIS RURAL HEALTH UNIT
010550028001,ALAMINOS CITY HEALTH OFFICE I
10550028001,ALAMINOS CITY HEALTH OFFICE I
010550029001,SAN CARLOS CITY HEALTH OFFICE
10550029001,SAN CARLOS CITY HEALTH OFFICE
010550030001,BALUNGAO RURAL HEALTH UNIT
10550030001,BALUNGAO RURAL HEALTH UNIT
010550031001,CALASIAO RURAL HEALTH UNIT I
10550031001,CALASIAO RURAL HEALTH UNIT I
010550032001,ALCALA RURAL HEALTH UNIT
10550032001,ALCALA RURAL HEALTH UNIT
010550033001,SAN JACINTO MAIN HEALTH CENTER
10550033001,SAN JACINTO MAIN HEALTH CENTER
010550034001,BOLINAO RURAL HEALTH UNIT I
10550034001,BOLINAO RURAL HEALTH UNIT I
010550035001,BANI RURAL HEALTH UNIT I
10550035001,BANI RURAL HEALTH UNIT I
010550036001,SAN CARLOS CITY RURAL HEALTH UNIT IV
10550036001,SAN CARLOS CITY RURAL HEALTH UNIT IV
010550037001,BAYAMBANG RURAL HEALTH UNIT VI
10550037001,BAYAMBANG RURAL HEALTH UNIT VI
010551801001,REGION I MEDICAL CENTER
10551801001,REGION I MEDICAL CENTER
010551802001,DECENA GENERAL HOSPITAL
10551802001,DECENA GENERAL HOSPITAL
010551803001,"ALLIED CARE EXPERTS MEDICAL CENTER PANGASINAN, INC"
10551803001,"ALLIED CARE EXPERTS MEDICAL CENTER PANGASINAN, INC"
010551804001,"DAGUPAN DOCTORS-VILLAFLOR MEMORIAL HOSPITAL, INC."
10551804001,"DAGUPAN DOCTORS-VILLAFLOR MEMORIAL HOSPITAL, INC."
010551805001,LUZON MEDICAL CENTER INC.
10551805001,LUZON MEDICAL CENTER INC.
020090001001,BATANES GENERAL HOSPITAL
20090001001,BATANES GENERAL HOSPITAL
020090002001,IVANA RURAL HEALTH UNIT
20090002001,IVANA RURAL HEALTH UNIT
020090003001,BASCO RURAL HEALTH UNIT
20090003001,BASCO RURAL HEALTH UNIT
020150001001,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL
20150001001,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL
020150002001,MATILDE A. OLIVAS DISTRICT HOSPITAL
20150002001,MATILDE A. OLIVAS DISTRICT HOSPITAL
020150003001,BALLESTEROS DISTRICT HOSPITAL
20150003001,BALLESTEROS DISTRICT HOSPITAL
020150004001,CAGAYAN VALLEY MEDICAL CENTER
20150004001,CAGAYAN VALLEY MEDICAL CENTER
020150005001,HOLY INFANT HOSPITAL OF TUGUEGARAO INC.
20150005001,HOLY INFANT HOSPITAL OF TUGUEGARAO INC.
020150006001,"CHARLES W. SELBY MEMORIAL HOSPITAL, INC."
20150006001,"CHARLES W. SELBY MEMORIAL HOSPITAL, INC."
020150007001,"GRUPO MEDICO DE DIOS, INC."
20150007001,"GRUPO MEDICO DE DIOS, INC."
020150008001,"DR. RONALD P. GUZMAN MEDICAL CENTER, INC."
20150008001,"DR. RONALD P. GUZMAN MEDICAL CENTER, INC."
020150009001,"CAGAYAN UNITED DOCTORS MEDICAL CENTER OF TUGUEGARAO CITY, INC."
20150009001,"CAGAYAN UNITED DOCTORS MEDICAL CENTER OF TUGUEGARAO CITY, INC."
020150010001,MUNICIPAL HEALTH OFFICE OF SANCHEZ MIRA
20150010001,MUNICIPAL HEALTH OFFICE OF SANCHEZ MIRA
