facility_id,hcw_name,hcw_id
040340210,LPH-Bay HCW 01,LPHBAY-HCW-01
040340210,LPH-Bay HCW 02,LPHBAY-HCW-02
040340210,LPH-Bay HCW 03,LPHBAY-HCW-03
040340210,LPH-Bay HCW 04,LPHBAY-HCW-04
040340210,LPH-Bay HCW 05,LPHBAY-HCW-05
040340210,LPH-Bay HCW 06,LPHBAY-HCW-06
040340210,LPH-Bay HCW 07,LPHBAY-HCW-07
040340210,LPH-Bay HCW 08,LPHBAY-HCW-08
040340210,LPH-Bay HCW 09,LPHBAY-HCW-09
040340210,LPH-Bay HCW 10,LPHBAY-HCW-10
040340210,LPH-Bay HCW 11,LPHBAY-HCW-11
040340210,LPH-Bay HCW 12,LPHBAY-HCW-12
040340210,LPH-Bay HCW 13,LPHBAY-HCW-13
040340210,LPH-Bay HCW 14,LPHBAY-HCW-14
040340210,LPH-Bay HCW 15,LPHBAY-HCW-15
040340210,LPH-Bay HCW 16,LPHBAY-HCW-16
040340210,LPH-Bay HCW 17,LPHBAY-HCW-17
040340210,LPH-Bay HCW 18,LPHBAY-HCW-18
040340210,LPH-Bay HCW 19,LPHBAY-HCW-19
040340210,LPH-Bay HCW 20,LPHBAY-HCW-20
040340210,LPH-Bay HCW 21,LPHBAY-HCW-21
040340210,LPH-Bay HCW 22,LPHBAY-HCW-22
040340210,LPH-Bay HCW 23,LPHBAY-HCW-23
040340210,LPH-Bay HCW 24,LPHBAY-HCW-24
040340210,LPH-Bay HCW 25,LPHBAY-HCW-25
